"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"1",2006-01-01,3,5,-121.3914158,38.55042047,1,5,5
"2",2006-01-01,5,7,-121.4901858,38.47350069,2,12,6
"3",2006-01-01,2,5,-121.4621009,38.65784584,3,17,5.66666666666667
"4",2006-01-01,6,7,-121.4269508,38.50677377,4,24,6
"5",2006-01-01,2,7,-121.3846125,38.6374478,5,31,6.2
"6",2006-01-01,6,7,-121.4513383,38.52697863,6,38,6.33333333333333
"7",2006-01-01,4,7,-121.4875774,38.537173,7,45,6.42857142857143
"8",2006-01-01,3,4,-121.4618826,38.56433456,8,49,6.125
"9",2006-01-01,2,7,-121.3846125,38.6374478,9,56,6.22222222222222
"10",2006-01-01,1,5,-121.4918375,38.60960217,10,61,6.1
"11",2006-01-01,6,6,-121.4546045,38.55426406,11,67,6.09090909090909
"12",2006-01-01,6,7,-121.4314528,38.52816497,12,74,6.16666666666667
"13",2006-01-01,4,5,-121.5488201,38.51092155,13,79,6.07692307692308
"14",2006-01-01,3,7,-121.4142729,38.55611545,14,86,6.14285714285714
"15",2006-01-01,6,7,-121.3923987,38.50398051,15,93,6.2
"16",2006-01-01,6,4,-121.4495097,38.54152896,16,97,6.0625
"17",2006-01-01,6,1,-121.4234749,38.51657327,17,98,5.76470588235294
"18",2006-01-01,3,6,-121.5011657,38.58184562,18,104,5.77777777777778
"19",2006-01-01,6,7,-121.4572067,38.54270763,19,111,5.84210526315789
"20",2006-01-01,4,7,-121.5203609,38.52459987,20,118,5.9
"21",2006-01-01,5,7,-121.4423777,38.44659211,21,125,5.95238095238095
"22",2006-01-01,2,7,-121.423349,38.59664183,22,132,6
"23",2006-01-01,4,4,-121.5291027,38.51512387,23,136,5.91304347826087
"24",2006-01-01,2,7,-121.4560449,38.65660112,24,143,5.95833333333333
"25",2006-01-01,5,1,-121.4095243,38.44281523,25,144,5.76
"26",2006-01-01,6,5,-121.4332827,38.5438039,26,149,5.73076923076923
"27",2006-01-01,5,7,-121.4547389,38.47121906,27,156,5.77777777777778
"28",2006-01-01,4,4,-121.5123309,38.5564521,28,160,5.71428571428571
"29",2006-01-01,5,5,-121.4965602,38.49535335,29,165,5.68965517241379
"30",2006-01-01,2,4,-121.4375169,38.64717373,30,169,5.63333333333333
"31",2006-01-01,4,2,-121.5354477,38.47889498,31,171,5.51612903225806
"32",2006-01-01,2,7,-121.444642,38.63734742,32,178,5.5625
"33",2006-01-01,3,7,-121.4767958,38.57289613,33,185,5.60606060606061
"34",2006-01-01,6,5,-121.3854286,38.51436734,34,190,5.58823529411765
"35",2006-01-01,4,1,-121.5215057,38.47948616,35,191,5.45714285714286
"36",2006-01-01,1,6,-121.5259008,38.65994218,36,197,5.47222222222222
"37",2006-01-01,1,2,-121.5187927,38.60893745,37,199,5.37837837837838
"38",2006-01-01,3,5,-121.484429,38.57084621,38,204,5.36842105263158
"39",2006-01-01,3,3,-121.4876958,38.57815667,39,207,5.30769230769231
"40",2006-01-01,1,7,-121.5341593,38.64378844,40,214,5.35
"41",2006-01-01,1,7,-121.4857344,38.62798948,41,221,5.39024390243902
"42",2006-01-01,1,7,-121.5370613,38.61153542,42,228,5.42857142857143
"43",2006-01-01,3,4,-121.4930384,38.57999251,43,232,5.3953488372093
"44",2006-01-01,3,7,-121.4978798,38.59540732,44,239,5.43181818181818
"45",2006-01-01,6,8,-121.4296507,38.51526387,45,247,5.48888888888889
"46",2006-01-01,2,5,-121.4577585,38.65737252,46,252,5.47826086956522
"47",2006-01-01,6,6,-121.434789,38.52799185,47,258,5.48936170212766
"48",2006-01-01,3,3,-121.4852542,38.56796664,48,261,5.4375
"49",2006-01-01,4,7,-121.4776262,38.50009398,49,268,5.46938775510204
"50",2006-01-01,6,2,-121.4282497,38.54138742,50,270,5.4
"51",2006-01-01,4,1,-121.4740915,38.49609085,51,271,5.31372549019608
"52",2006-01-01,4,5,-121.5195294,38.52973955,52,276,5.30769230769231
"53",2006-01-01,5,5,-121.4265274,38.46637324,53,281,5.30188679245283
"54",2006-01-01,4,5,-121.5255605,38.51538948,54,286,5.2962962962963
"55",2006-01-01,3,7,-121.4661967,38.57905906,55,293,5.32727272727273
"56",2006-01-01,1,8,-121.4755269,38.63036289,56,301,5.375
"57",2006-01-01,6,7,-121.4333041,38.50632179,57,308,5.40350877192982
"58",2006-01-01,5,8,-121.4581933,38.47400047,58,316,5.44827586206897
"59",2006-01-01,3,3,-121.5051437,38.57724403,59,319,5.40677966101695
"60",2006-01-01,3,5,-121.470553,38.57419952,60,324,5.4
"61",2006-01-01,3,2,-121.4970836,38.57881567,61,326,5.34426229508197
"62",2006-01-01,3,5,-121.4106138,38.55456463,62,331,5.33870967741935
"63",2006-01-01,6,3,-121.4309007,38.52199211,63,334,5.3015873015873
"64",2006-01-01,1,7,-121.5264198,38.62453557,64,341,5.328125
"65",2006-01-01,1,5,-121.4978986,38.62504428,65,346,5.32307692307692
"66",2006-01-01,3,7,-121.4737052,38.56984785,66,353,5.34848484848485
"67",2006-01-01,5,7,-121.4461653,38.46518116,67,360,5.37313432835821
"68",2006-01-01,5,8,-121.4258719,38.4497213,68,368,5.41176470588235
"69",2006-01-01,5,5,-121.427615,38.47143667,69,373,5.40579710144928
"70",2006-01-01,2,7,-121.4152799,38.61972226,70,380,5.42857142857143
"71",2006-01-01,5,4,-121.477826,38.49570962,71,384,5.40845070422535
"72",2006-01-01,2,8,-121.4226958,38.62070956,72,392,5.44444444444444
"73",2006-01-01,1,8,-121.4934272,38.61488957,73,400,5.47945205479452
"74",2006-01-01,3,2,-121.5059336,38.58239328,74,402,5.43243243243243
"75",2006-01-01,6,8,-121.4661214,38.53116122,75,410,5.46666666666667
"76",2006-01-01,2,2,-121.4473501,38.60641085,76,412,5.42105263157895
"77",2006-01-01,3,7,-121.4882896,38.57682477,77,419,5.44155844155844
"78",2006-01-01,1,4,-121.5287747,38.63207451,78,423,5.42307692307692
"79",2006-01-01,2,7,-121.456171,38.60108154,79,430,5.44303797468354
"80",2006-01-01,5,5,-121.4996944,38.47489873,80,435,5.4375
"81",2006-01-01,1,4,-121.5226753,38.67510292,81,439,5.41975308641975
